,age,ageCond,budam,buga1,buga2,buga3,chaksun1,chaksun2,chaksun3,chaksun4,chaksun5,chulNo,diffUnit,g2f,g3f_4c,g4f_3c,g6f_2c,g8f_1c,hrName,hrNo,ilsu,jkName,jkNo,meet,name,ord,ordG1f,ordS1f,owName,owNo,plcOdds,prizeCond,rank,rating,rcDate,rcDay,rcDist,rcName,rcNo,rcTime,rcTimeG1f,rcTimeG2f,rcTimeG3f,rcTimeS1f,rcTime_1c,rcTime_2c,rcTime_3c,rcTime_400,rcTime_4c,sex,trName,trNo,track,weather,wgBudam,wgHr,winOdds
0,3,3세,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,8,-,0,2,2,0,0,투혼특급,0046167,32,임다빈,080602,서울,한국,1,1,2,김근영,106272,1.8,R0~0,국6등급,0,20230430,일요일,1200,일반,1,76.1,13.6,0,39.2,13,0.0,0.0,24.6,0,43.4,암,서인석,070165,다습 (13%),맑음,54.0,469(-7),7.1
1,3,3세,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,9,½,0,6,6,0,0,드림플레이,0045981,32,조재로,080550,서울,한국,2,3,6,조현영,122001,3.2,R0~0,국6등급,0,20230430,일요일,1200,일반,1,76.2,13.2,0,38.9,13,0.0,0.0,25.2,0,43.8,수,김동철,070177,다습 (13%),맑음,56.0,470(-7),16.3
2,3,3세,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,10,1½,0,4,4,0,0,마이선더,0046341,32,김정준,080473,서울,한국,3,2,4,제주축산개발,030013,1.8,R0~0,국6등급,0,20230430,일요일,1200,일반,1,76.5,13.7,0,39.4,13,0.0,0.0,24.8,0,43.6,암,김윤섭,070103,다습 (13%),맑음,54.0,466(+4),3.2
3,3,3세,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,3,4,0,5,5,0,0,아깽이,0045913,32,정정희,080530,서울,한국,4,4,7,김동선,121016,1.9,R0~0,국6등급,0,20230430,일요일,1200,일반,1,77.2,13.9,0,39.9,14,0.0,0.0,25.2,0,43.8,거,안병기,070146,다습 (13%),맑음,56.0,467(-2),6.0
4,3,3세,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,11,1,0,7,9,0,0,나올탱크,0046372,32,하정훈,080552,서울,한국,5,6,9,이경호a,121010,4.7,R0~0,국6등급,0,20230430,일요일,1200,일반,1,77.4,14.1,0,39.9,14,0.0,0.0,25.6,0,43.8,거,조현수,070199,다습 (13%),맑음,56.0,511(-21),29.6
5,3,3세,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,4,3,0,8,7,0,0,펄포인트,0045224,32,조상범,080533,서울,한국,6,8,5,최상기,105263,11.4,R0~0,국6등급,0,20230430,일요일,1200,일반,1,78.0,13.9,0,40.5,13,0.0,0.0,25.4,0,44.2,암,서인석,070165,다습 (13%),맑음,54.0,488(+10),57.6
6,3,3세,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,7,코,0,3,3,0,0,열정아르고,0046011,32,김아현,080598,서울,한국,7,5,3,우태율,111006,1.1,R0~0,국6등급,0,20230430,일요일,1200,일반,1,78.0,14.7,0,40.9,13,0.0,0.0,24.8,0,43.6,암,박재우,070164,다습 (13%),맑음,53.0,485(),2.6
7,3,3세,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,1,7,0,9,10,0,0,제축일호,0045556,32,송재철,080513,서울,한국,8,9,10,제주축협,030011,4.6,R0~0,국6등급,0,20230430,일요일,1200,일반,1,79.3,14.2,0,40.9,14,0.0,0.0,26.0,0,45.0,수,김동균,070170,다습 (13%),맑음,56.0,505(+6),24.7
8,3,3세,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,5,4,0,1,1,0,0,메티스선더,0046111,32,김효정,080578,서울,한국,9,7,1,이웅열,010413,8.4,R0~0,국6등급,0,20230430,일요일,1200,일반,1,80.0,16.2,0,43.2,13,0.0,0.0,24.4,0,43.4,암,박종곤,070095,다습 (13%),맑음,54.0,466(+7),61.0
9,3,3세,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,2,1¼,0,10,8,0,0,사려니불릿,0046193,32,이용호,080547,서울,한국,10,10,8,오영익,113030,3.7,R0~0,국6등급,-,20230430,일요일,1200,일반,1,80.2,14.9,0,41.8,14,0.0,0.0,25.4,0,45.1,수,이신영,070167,다습 (13%),맑음,56.0,481(+6),13.0
