,age,ageCond,budam,buga1,buga2,buga3,chaksun1,chaksun2,chaksun3,chaksun4,chaksun5,chulNo,diffUnit,g2f,g3f_4c,g4f_3c,g6f_2c,g8f_1c,hrName,hrNo,ilsu,jkName,jkNo,meet,name,ord,ordG1f,ordS1f,owName,owNo,plcOdds,prizeCond,rank,rating,rcDate,rcDay,rcDist,rcName,rcNo,rcTime,rcTimeG1f,rcTimeG2f,rcTimeG3f,rcTimeS1f,rcTime_1c,rcTime_2c,rcTime_3c,rcTime_400,rcTime_4c,sex,trName,trNo,track,weather,wgBudam,wgHr,winOdds
0,3,3세이하,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,5,-,0,1,1,0,0,러브카우걸,0050284,35,김철호,080434,서울,한국,1,1,1,미즈타니 마사테루,214706,1.1,R0~0,국6등급,-,20230513,토요일,1200,일반,1,75.5,13.0,0,37.6,13,0.0,0.0,25.3,0,44.3,암,서범석,070096,양호 (6%),맑음,54.0,437(+9),1.7
1,3,3세이하,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,1,3,0,4,7,0,0,문학이글,0046407,35,신형철,080122,서울,한국,2,2,8,권경자,105222,3.1,R0~0,국6등급,0,20230513,토요일,1200,일반,1,76.0,13.5,0,37.7,14,0.0,0.0,26.0,0,44.6,암,홍대유,070145,양호 (6%),맑음,54.0,455(+1),13.6
2,3,3세이하,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,2,2½,0,5,4,0,0,주얼리패션,0051143,35,김정준,080473,서울,한국,3,4,3,김태성,113008,4.5,R0~0,국6등급,-,20230513,토요일,1200,일반,1,76.4,12.9,0,38.2,13,0.0,0.0,25.7,0,44.7,암,송문길,070179,양호 (6%),맑음,54.0,456(+12),51.6
3,3,3세이하,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,3,1,0,6,5,0,0,킹고태양,0046281,35,유승완,080417,서울,한국,4,6,4,박남성,010496,2.1,R0~0,국6등급,0,20230513,토요일,1200,일반,1,76.6,12.8,0,38.3,13,0.0,0.0,25.8,0,44.9,수,전승규,070182,양호 (6%),맑음,56.0,482(-8),7.7
4,3,3세이하,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,8,¾,0,2,2,0,0,세븐블레이드,0045207,35,송재철,080513,서울,한국,5,3,2,김형란,112270,2.2,R0~0,국6등급,-,20230513,토요일,1200,일반,1,76.7,13.4,0,38.6,13,0.0,0.0,25.4,0,44.5,암,문병기,070225,양호 (6%),맑음,54.0,465(-5),13.3
5,3,3세이하,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,9,2½,0,3,3,0,0,골든플라잉,1412362,35,조상범,080533,서울,한국,6,5,5,표종순,113134,2.1,R0~0,국6등급,0,20230513,토요일,1200,일반,1,77.2,13.7,0,39.0,13,0.0,0.0,25.5,0,44.6,암,구자흥,070157,양호 (6%),맑음,54.0,440(-16),6.8
6,3,3세이하,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,4,2½,0,7,6,0,0,당대스카이,0051481,35,박현우,080499,서울,한국,7,7,6,조성옥,111264,7.9,R0~0,국6등급,0,20230513,토요일,1200,일반,1,77.7,13.6,0,39.2,14,0.0,0.0,26.0,0,45.1,암,박천서,070115,양호 (6%),맑음,54.0,463(+3),122.5
7,3,3세이하,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,7,2½,0,8,8,0,0,그랜드대로,0045625,35,김옥성,080100,서울,한국,8,8,7,김은갑,118003,8.0,R0~0,국6등급,0,20230513,토요일,1200,일반,1,78.1,13.6,0,39.0,14,0.0,0.0,26.6,0,45.5,암,손영표,070150,양호 (6%),맑음,54.0,441(-25),46.7
8,3,3세이하,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,11,1¾,0,11,11,0,0,호명에이스,0051834,35,김태훈,080512,서울,한국,9,9,11,양일추,215356,9.2,R0~0,국6등급,-,20230513,토요일,1200,일반,1,78.4,12.7,0,37.5,15,0.0,0.0,28.2,0,47.4,암,박희철,070114,양호 (6%),맑음,54.0,488(-1),48.1
9,3,3세이하,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,6,11,0,9,9,0,0,피엔에스별,0045430,35,이상규,080609,서울,한국,10,10,9,피엔에스홈즈,118010,31.9,R0~0,국6등급,-,20230513,토요일,1200,일반,1,80.3,14.0,0,40.7,14,0.0,0.0,27.1,0,46.2,수,최영주,070098,양호 (6%),맑음,52.0,427(-2),167.5
10,3,3세이하,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,10,24,0,10,10,0,0,바로챔피언,0045791,35,문성혁,080587,서울,한국,11,11,10,미리내,116057,2.0,R0~0,국6등급,0,20230513,토요일,1200,일반,1,84.4,17.6,0,43.9,15,0.0,0.0,27.4,0,47.1,암,배대선,070091,양호 (6%),맑음,54.0,473(+15),6.7
11,3,연령오픈,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,6,-,0,1,1,0,0,지르콘,0045877,35,하정훈,080552,서울,한국,1,1,1,한명로,111053,3.2,R0~0,국6등급,0,20230513,토요일,1200,일반,2,75.1,13.6,0,38.5,13,0.0,0.0,24.9,0,42.8,암,토니,070265,양호 (6%),맑음,54.0,468(-1),10.6
12,3,연령오픈,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,5,4,0,4,2,0,0,정상럭키,0045924,35,김혜선,080456,서울,한국,2,2,3,정동진,010298,1.4,R0~0,국6등급,0,20230513,토요일,1200,일반,2,75.8,13.6,0,38.7,14,0.0,0.0,25.1,0,43.3,암,강환민,070175,양호 (6%),맑음,54.0,500(),2.8
13,3,연령오픈,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,4,2,0,5,5,0,0,하이본미,0045874,35,함완식,080342,서울,한국,3,5,6,이중연,010067,1.2,R0~0,국6등급,0,20230513,토요일,1200,일반,2,76.2,13.6,0,38.7,14,0.0,0.0,25.6,0,43.7,수,김동균,070170,양호 (6%),맑음,56.0,496(-10),2.6
14,3,연령오픈,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,10,1,0,8,8,0,0,아름다운사이,0045593,35,김태희,080603,서울,한국,4,7,7,유영준,114017,3.5,R0~0,국6등급,0,20230513,토요일,1200,일반,2,76.3,12.8,0,37.8,14,0.0,0.0,26.1,0,45.0,암,신삼영,070161,양호 (6%),맑음,54.0,473(+2),14.0
15,4,연령오픈,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,7,목,0,9,9,0,0,베스트플랜,0044803,35,박을운,080339,서울,한국,5,6,9,에스지이건설,121013,2.8,R0~0,국6등급,0,20230513,토요일,1200,일반,2,76.3,12.9,0,37.6,14,0.0,0.0,26.4,0,45.1,암,홍대유,070145,양호 (6%),맑음,54.0,463(-1),13.3
16,3,연령오픈,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,11,코,0,2,3,0,0,장흥클래스,0046162,35,문정균,080337,서울,한국,6,3,5,임한용,121021,1.6,R0~0,국6등급,0,20230513,토요일,1200,일반,2,76.4,14.0,0,39.5,14,0.0,0.0,25.1,0,43.0,거,최봉주,070152,양호 (6%),맑음,56.0,456(-3),5.7
17,3,연령오픈,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,2,2,0,3,4,0,0,마이원,0046191,35,임다빈,080602,서울,한국,7,4,2,백국인,105225,2.9,R0~0,국6등급,0,20230513,토요일,1200,일반,2,76.7,14.1,0,39.6,14,0.0,0.0,25.2,0,43.3,거,정호익,070148,양호 (6%),맑음,56.0,479(+4),15.9
18,3,연령오픈,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,1,1¼,0,10,10,0,0,굿사이먼,0045884,35,이상규,080609,서울,한국,8,9,10,박준배,106148,7.1,R0~0,국6등급,0,20230513,토요일,1200,일반,2,77.0,13.0,0,38.0,15,0.0,0.0,27.2,0,45.3,암,최영주,070098,양호 (6%),맑음,50.0,440(+4),48.7
19,4,연령오픈,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,3,2,0,6,7,0,0,마이티렘,0044835,35,오수철,080608,서울,한국,9,8,8,조병태,113005,14.7,R0~0,국6등급,0,20230513,토요일,1200,일반,2,77.3,13.8,0,39.2,14,0.0,0.0,26.1,0,44.3,암,서홍수,070160,양호 (6%),맑음,52.0,408(-7),147.4
20,3,연령오픈,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,8,7,0,7,6,0,0,아치로켓,0045406,35,이동진,080579,서울,한국,10,10,4,송암축산,121019,8.3,R0~0,국6등급,0,20230513,토요일,1200,일반,2,78.6,14.5,0,40.5,14,0.0,0.0,25.7,0,44.4,암,안병기,070146,양호 (6%),맑음,54.0,492(+10),67.7
21,3,연령오픈,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,9,-,0,0,0,0,0,스마트삭스,0046221,35,이용호,080547,서울,한국,94,0,0,김창식,010352,0.0,R0~0,국6등급,0,20230513,토요일,1200,일반,2,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,암,이신영,070167,양호 (6%),맑음,54.0,445(+2),0.0
22,3,3세이하,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,4,-,0,9,9,0,0,천지스카이,0045936,36,장추열,080476,서울,한국,1,3,9,최임규,113032,1.8,R0~0,국6등급,0,20230513,토요일,1200,일반,3,75.6,13.0,0,37.7,14,0.0,0.0,26.0,0,44.2,수,김동균,070170,양호 (6%),맑음,56.0,492(-14),5.0
23,3,3세이하,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,10,1¼,0,2,2,0,0,큐피드시크,0045410,36,김용근,080405,서울,한국,2,1,1,서순배,104038,2.5,R0~0,국6등급,0,20230513,토요일,1200,일반,3,75.8,13.8,0,39.0,13,0.0,0.0,24.7,0,43.1,암,최용구,070168,양호 (6%),맑음,54.0,439(+2),12.6
24,3,3세이하,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,6,1¼,0,1,1,0,0,쏘아라투투,0046152,36,문정균,080337,서울,한국,3,2,2,현태봉,065034,6.2,R0~0,국6등급,0,20230513,토요일,1200,일반,3,76.0,13.9,0,39.2,13,0.0,0.0,24.7,0,43.1,암,최상식,070085,양호 (6%),맑음,54.0,503(+7),38.2
25,3,3세이하,별정A,0,0,0,22000000,8800000,5600000,2000000,1600000,3,2½,0,7,7,0,0,샤프선샤인,0052120,36,김철호,080434,서울,한국,4,7,8,최정임,123006,2.3,R0~0,국6등급,0,20230513,토요일,1200,일반,3,76.4,13.6,0,38.7,14,0.0,0.0,25.5,0,44.0,암,박천서,070115,양호 (6%),맑음,54.0,428(+11),13.6
